"","Sensor","Date_Time","Date","Time","Count"
"72","Southern Cross Station",2017-07-01 01:00:00,2017-07-01,1,21
"73","Victoria Point",2017-07-01 01:00:00,2017-07-01,1,19
"74","Waterfront City",2017-07-01 01:00:00,2017-07-01,1,4
"75","New Quay",2017-07-01 01:00:00,2017-07-01,1,35
"76","Flagstaff Station",2017-07-01 01:00:00,2017-07-01,1,0
"77","Sandridge Bridge",2017-07-01 01:00:00,2017-07-01,1,157
"78","State Library",2017-07-01 01:00:00,2017-07-01,1,241
"79","Collins St (North)",2017-07-01 01:00:00,2017-07-01,1,90
"80","Collins Place (South)",2017-07-01 01:00:00,2017-07-01,1,59
"81","Collins Place (North)",2017-07-01 01:00:00,2017-07-01,1,21
"82","Chinatown-Swanston St (North)",2017-07-01 01:00:00,2017-07-01,1,350
"83","Chinatown-Lt Bourke St (South)",2017-07-01 01:00:00,2017-07-01,1,200
"84","Bourke St-Russell St (West)",2017-07-01 01:00:00,2017-07-01,1,636
"85","Flinders St-Elizabeth St (East)",2017-07-01 01:00:00,2017-07-01,1,604
"86","Spencer St-Collins St (South)",2017-07-01 01:00:00,2017-07-01,1,69
"87","Spencer St-Collins St (North)",2017-07-01 01:00:00,2017-07-01,1,241
"88","Melbourne Convention Exhibition Centre",2017-07-01 01:00:00,2017-07-01,1,158
"89","QV Market-Elizabeth St (West)",2017-07-01 01:00:00,2017-07-01,1,136
"90","QV Market-Peel St",2017-07-01 01:00:00,2017-07-01,1,26
"91","The Arts Centre",2017-07-01 01:00:00,2017-07-01,1,92
"92","St Kilda Rd-Alexandra Gardens",2017-07-01 01:00:00,2017-07-01,1,63
"93","Lonsdale St (South)",2017-07-01 01:00:00,2017-07-01,1,493
"94","Lygon St (West)",2017-07-01 01:00:00,2017-07-01,1,67
"95","City Square",2017-07-01 01:00:00,2017-07-01,1,NA
"96","Flinders St-Spring St (West)",2017-07-01 01:00:00,2017-07-01,1,26
"97","Flinders St-Spark La",2017-07-01 01:00:00,2017-07-01,1,38
"98","Southbank",2017-07-01 01:00:00,2017-07-01,1,402
"99","Queen St (West)",2017-07-01 01:00:00,2017-07-01,1,180
"100","Lygon St (East)",2017-07-01 01:00:00,2017-07-01,1,9
"101","Alfred Place",2017-07-01 01:00:00,2017-07-01,1,24
"102","Lonsdale St-Spring St (West)",2017-07-01 01:00:00,2017-07-01,1,0
"103","Grattan St-Swanston St (West)",2017-07-01 01:00:00,2017-07-01,1,7
"104","Monash Rd-Swanston St (West)",2017-07-01 01:00:00,2017-07-01,1,8
"105","Tin Alley-Swanston St (West)",2017-07-01 01:00:00,2017-07-01,1,6
"106","Little Collins St-Swanston St (East)",2017-07-01 01:00:00,2017-07-01,1,403
"107","Flinders La-Swanston St (West)",2017-07-01 01:00:00,2017-07-01,1,967
"108","Pelham St (South)",2017-07-01 01:00:00,2017-07-01,1,NA
"109","Melbourne Central-Elizabeth St (East)",2017-07-01 01:00:00,2017-07-01,1,NA
"110","QVM-Queen St (East)",2017-07-01 01:00:00,2017-07-01,1,NA
"111","QVM-Therry St (South)",2017-07-01 01:00:00,2017-07-01,1,NA
"112","Faraday St-Lygon St (West)",2017-07-01 01:00:00,2017-07-01,1,NA
"113","QVM-Franklin St (North)",2017-07-01 01:00:00,2017-07-01,1,NA
"114","Elizabeth St-Lonsdale St (South)",2017-07-01 01:00:00,2017-07-01,1,NA
"115","Lincoln-Swanston (W)",2017-07-01 01:00:00,2017-07-01,1,NA
"116","Elizabeth St-La Trobe St (East)",2017-07-01 01:00:00,2017-07-01,1,NA
"117","Lonsdale St - Elizabeth St (North)",2017-07-01 01:00:00,2017-07-01,1,NA
"118","Bourke St Bridge",2017-07-01 01:00:00,2017-07-01,1,NA
"119","Bourke St - Spencer St (North)",2017-07-01 01:00:00,2017-07-01,1,NA
"120","RMIT Bld 80 - 445 Swanston Street",2017-07-01 01:00:00,2017-07-01,1,NA
"121","Flinders La-Swanston St (West) Temporary",2017-07-01 01:00:00,2017-07-01,1,NA
"122","RMIT Building 14",2017-07-01 01:00:00,2017-07-01,1,NA
"123","380 Elizabeth St",2017-07-01 01:00:00,2017-07-01,1,NA
"124","La Trobe St (North)",2017-07-01 01:00:00,2017-07-01,1,NA
"125","231 Bourke St",2017-07-01 01:00:00,2017-07-01,1,NA
