"","Sensor","Date_Time","Date","Time","Count"
"2375","Flinders La-Swanston St (West)",2017-07-02 13:00:00,2017-07-02,13,3713
"2376","Pelham St (South)",2017-07-02 13:00:00,2017-07-02,13,NA
"2377","Melbourne Central-Elizabeth St (East)",2017-07-02 13:00:00,2017-07-02,13,NA
"2378","QVM-Queen St (East)",2017-07-02 13:00:00,2017-07-02,13,NA
"2379","QVM-Therry St (South)",2017-07-02 13:00:00,2017-07-02,13,NA
"2380","Faraday St-Lygon St (West)",2017-07-02 13:00:00,2017-07-02,13,NA
"2381","QVM-Franklin St (North)",2017-07-02 13:00:00,2017-07-02,13,NA
"2382","Elizabeth St-Lonsdale St (South)",2017-07-02 13:00:00,2017-07-02,13,NA
"2383","Lincoln-Swanston (W)",2017-07-02 13:00:00,2017-07-02,13,NA
"2384","Elizabeth St-La Trobe St (East)",2017-07-02 13:00:00,2017-07-02,13,NA
"2385","Lonsdale St - Elizabeth St (North)",2017-07-02 13:00:00,2017-07-02,13,NA
"2386","Bourke St Bridge",2017-07-02 13:00:00,2017-07-02,13,NA
"2387","Bourke St - Spencer St (North)",2017-07-02 13:00:00,2017-07-02,13,NA
"2388","RMIT Bld 80 - 445 Swanston Street",2017-07-02 13:00:00,2017-07-02,13,NA
"2389","Flinders La-Swanston St (West) Temporary",2017-07-02 13:00:00,2017-07-02,13,NA
"2390","RMIT Building 14",2017-07-02 13:00:00,2017-07-02,13,NA
"2391","380 Elizabeth St",2017-07-02 13:00:00,2017-07-02,13,NA
"2392","La Trobe St (North)",2017-07-02 13:00:00,2017-07-02,13,NA
"2393","231 Bourke St",2017-07-02 13:00:00,2017-07-02,13,NA
"2394","Royal Pde - Grattan St",2017-07-02 13:00:00,2017-07-02,13,NA
"2395","Bourke Street Mall (North)",2017-07-02 14:00:00,2017-07-02,14,3784
"2396","Bourke Street Mall (South)",2017-07-02 14:00:00,2017-07-02,14,2999
"2397","Melbourne Central",2017-07-02 14:00:00,2017-07-02,14,2374
"2398","Town Hall (West)",2017-07-02 14:00:00,2017-07-02,14,3296
"2399","Princes Bridge",2017-07-02 14:00:00,2017-07-02,14,0
"2400","Flinders Street Station Underpass",2017-07-02 14:00:00,2017-07-02,14,2246
"2401","Birrarung Marr",2017-07-02 14:00:00,2017-07-02,14,3328
"2402","Webb Bridge",2017-07-02 14:00:00,2017-07-02,14,303
"2403","Southern Cross Station",2017-07-02 14:00:00,2017-07-02,14,97
"2404","Victoria Point",2017-07-02 14:00:00,2017-07-02,14,87
"2405","Waterfront City",2017-07-02 14:00:00,2017-07-02,14,49
"2406","New Quay",2017-07-02 14:00:00,2017-07-02,14,470
"2407","Flagstaff Station",2017-07-02 14:00:00,2017-07-02,14,0
"2408","Sandridge Bridge",2017-07-02 14:00:00,2017-07-02,14,841
"2409","State Library",2017-07-02 14:00:00,2017-07-02,14,1670
"2410","Collins St (North)",2017-07-02 14:00:00,2017-07-02,14,1440
"2411","Collins Place (South)",2017-07-02 14:00:00,2017-07-02,14,325
"2412","Collins Place (North)",2017-07-02 14:00:00,2017-07-02,14,172
"2413","Chinatown-Swanston St (North)",2017-07-02 14:00:00,2017-07-02,14,1334
"2414","Chinatown-Lt Bourke St (South)",2017-07-02 14:00:00,2017-07-02,14,648
"2415","Bourke St-Russell St (West)",2017-07-02 14:00:00,2017-07-02,14,1098
"2416","Flinders St-Elizabeth St (East)",2017-07-02 14:00:00,2017-07-02,14,2618
"2417","Spencer St-Collins St (South)",2017-07-02 14:00:00,2017-07-02,14,347
"2418","Spencer St-Collins St (North)",2017-07-02 14:00:00,2017-07-02,14,1194
"2419","Melbourne Convention Exhibition Centre",2017-07-02 14:00:00,2017-07-02,14,2367
"2420","QV Market-Elizabeth St (West)",2017-07-02 14:00:00,2017-07-02,14,1628
"2421","QV Market-Peel St",2017-07-02 14:00:00,2017-07-02,14,412
"2422","The Arts Centre",2017-07-02 14:00:00,2017-07-02,14,2971
"2423","St Kilda Rd-Alexandra Gardens",2017-07-02 14:00:00,2017-07-02,14,1621
"2424","Lonsdale St (South)",2017-07-02 14:00:00,2017-07-02,14,871
"2425","Lygon St (West)",2017-07-02 14:00:00,2017-07-02,14,527
"2426","City Square",2017-07-02 14:00:00,2017-07-02,14,NA
"2427","Flinders St-Spring St (West)",2017-07-02 14:00:00,2017-07-02,14,213
"2428","Flinders St-Spark La",2017-07-02 14:00:00,2017-07-02,14,305
"2429","Southbank",2017-07-02 14:00:00,2017-07-02,14,4230
"2430","Queen St (West)",2017-07-02 14:00:00,2017-07-02,14,202
"2431","Lygon St (East)",2017-07-02 14:00:00,2017-07-02,14,368
"2432","Alfred Place",2017-07-02 14:00:00,2017-07-02,14,101
"2433","Lonsdale St-Spring St (West)",2017-07-02 14:00:00,2017-07-02,14,0
"2434","Grattan St-Swanston St (West)",2017-07-02 14:00:00,2017-07-02,14,120
"2435","Monash Rd-Swanston St (West)",2017-07-02 14:00:00,2017-07-02,14,108
"2436","Tin Alley-Swanston St (West)",2017-07-02 14:00:00,2017-07-02,14,113
"2437","Little Collins St-Swanston St (East)",2017-07-02 14:00:00,2017-07-02,14,2109
"2438","Flinders La-Swanston St (West)",2017-07-02 14:00:00,2017-07-02,14,3829
"2439","Pelham St (South)",2017-07-02 14:00:00,2017-07-02,14,NA
"2440","Melbourne Central-Elizabeth St (East)",2017-07-02 14:00:00,2017-07-02,14,NA
"2441","QVM-Queen St (East)",2017-07-02 14:00:00,2017-07-02,14,NA
"2442","QVM-Therry St (South)",2017-07-02 14:00:00,2017-07-02,14,NA
"2443","Faraday St-Lygon St (West)",2017-07-02 14:00:00,2017-07-02,14,NA
"2444","QVM-Franklin St (North)",2017-07-02 14:00:00,2017-07-02,14,NA
"2445","Elizabeth St-Lonsdale St (South)",2017-07-02 14:00:00,2017-07-02,14,NA
"2446","Lincoln-Swanston (W)",2017-07-02 14:00:00,2017-07-02,14,NA
"2447","Elizabeth St-La Trobe St (East)",2017-07-02 14:00:00,2017-07-02,14,NA
"2448","Lonsdale St - Elizabeth St (North)",2017-07-02 14:00:00,2017-07-02,14,NA
"2449","Bourke St Bridge",2017-07-02 14:00:00,2017-07-02,14,NA
"2450","Bourke St - Spencer St (North)",2017-07-02 14:00:00,2017-07-02,14,NA
"2451","RMIT Bld 80 - 445 Swanston Street",2017-07-02 14:00:00,2017-07-02,14,NA
"2452","Flinders La-Swanston St (West) Temporary",2017-07-02 14:00:00,2017-07-02,14,NA
"2453","RMIT Building 14",2017-07-02 14:00:00,2017-07-02,14,NA
"2454","380 Elizabeth St",2017-07-02 14:00:00,2017-07-02,14,NA
"2455","La Trobe St (North)",2017-07-02 14:00:00,2017-07-02,14,NA
"2456","231 Bourke St",2017-07-02 14:00:00,2017-07-02,14,NA
"2457","Royal Pde - Grattan St",2017-07-02 14:00:00,2017-07-02,14,NA
"2458","Bourke Street Mall (North)",2017-07-02 15:00:00,2017-07-02,15,3710
"2459","Bourke Street Mall (South)",2017-07-02 15:00:00,2017-07-02,15,2862
"2460","Melbourne Central",2017-07-02 15:00:00,2017-07-02,15,2278
"2461","Town Hall (West)",2017-07-02 15:00:00,2017-07-02,15,3023
"2462","Princes Bridge",2017-07-02 15:00:00,2017-07-02,15,0
"2463","Flinders Street Station Underpass",2017-07-02 15:00:00,2017-07-02,15,2632
"2464","Birrarung Marr",2017-07-02 15:00:00,2017-07-02,15,1387
"2465","Webb Bridge",2017-07-02 15:00:00,2017-07-02,15,298
"2466","Southern Cross Station",2017-07-02 15:00:00,2017-07-02,15,179
"2467","Victoria Point",2017-07-02 15:00:00,2017-07-02,15,158
"2468","Waterfront City",2017-07-02 15:00:00,2017-07-02,15,104
"2469","New Quay",2017-07-02 15:00:00,2017-07-02,15,875
"2470","Flagstaff Station",2017-07-02 15:00:00,2017-07-02,15,0
"2471","Sandridge Bridge",2017-07-02 15:00:00,2017-07-02,15,887
"2472","State Library",2017-07-02 15:00:00,2017-07-02,15,1699
"2473","Collins St (North)",2017-07-02 15:00:00,2017-07-02,15,1244
"2474","Collins Place (South)",2017-07-02 15:00:00,2017-07-02,15,358
"2475","Collins Place (North)",2017-07-02 15:00:00,2017-07-02,15,151
"2476","Chinatown-Swanston St (North)",2017-07-02 15:00:00,2017-07-02,15,1328
"2477","Chinatown-Lt Bourke St (South)",2017-07-02 15:00:00,2017-07-02,15,707
"2478","Bourke St-Russell St (West)",2017-07-02 15:00:00,2017-07-02,15,1027
"2479","Flinders St-Elizabeth St (East)",2017-07-02 15:00:00,2017-07-02,15,2488
"2480","Spencer St-Collins St (South)",2017-07-02 15:00:00,2017-07-02,15,381
"2481","Spencer St-Collins St (North)",2017-07-02 15:00:00,2017-07-02,15,1409
"2482","Melbourne Convention Exhibition Centre",2017-07-02 15:00:00,2017-07-02,15,2311
"2483","QV Market-Elizabeth St (West)",2017-07-02 15:00:00,2017-07-02,15,1370
"2484","QV Market-Peel St",2017-07-02 15:00:00,2017-07-02,15,385
"2485","The Arts Centre",2017-07-02 15:00:00,2017-07-02,15,2827
"2486","St Kilda Rd-Alexandra Gardens",2017-07-02 15:00:00,2017-07-02,15,1373
"2487","Lonsdale St (South)",2017-07-02 15:00:00,2017-07-02,15,878
"2488","Lygon St (West)",2017-07-02 15:00:00,2017-07-02,15,614
"2489","City Square",2017-07-02 15:00:00,2017-07-02,15,NA
"2490","Flinders St-Spring St (West)",2017-07-02 15:00:00,2017-07-02,15,199
"2491","Flinders St-Spark La",2017-07-02 15:00:00,2017-07-02,15,222
"2492","Southbank",2017-07-02 15:00:00,2017-07-02,15,3890
"2493","Queen St (West)",2017-07-02 15:00:00,2017-07-02,15,183
"2494","Lygon St (East)",2017-07-02 15:00:00,2017-07-02,15,395
"2495","Alfred Place",2017-07-02 15:00:00,2017-07-02,15,76
"2496","Lonsdale St-Spring St (West)",2017-07-02 15:00:00,2017-07-02,15,0
"2497","Grattan St-Swanston St (West)",2017-07-02 15:00:00,2017-07-02,15,136
"2498","Monash Rd-Swanston St (West)",2017-07-02 15:00:00,2017-07-02,15,147
"2499","Tin Alley-Swanston St (West)",2017-07-02 15:00:00,2017-07-02,15,112
"2500","Little Collins St-Swanston St (East)",2017-07-02 15:00:00,2017-07-02,15,1992
"2501","Flinders La-Swanston St (West)",2017-07-02 15:00:00,2017-07-02,15,3689
"2502","Pelham St (South)",2017-07-02 15:00:00,2017-07-02,15,NA
"2503","Melbourne Central-Elizabeth St (East)",2017-07-02 15:00:00,2017-07-02,15,NA
"2504","QVM-Queen St (East)",2017-07-02 15:00:00,2017-07-02,15,NA
"2505","QVM-Therry St (South)",2017-07-02 15:00:00,2017-07-02,15,NA
"2506","Faraday St-Lygon St (West)",2017-07-02 15:00:00,2017-07-02,15,NA
"2507","QVM-Franklin St (North)",2017-07-02 15:00:00,2017-07-02,15,NA
"2508","Elizabeth St-Lonsdale St (South)",2017-07-02 15:00:00,2017-07-02,15,NA
"2509","Lincoln-Swanston (W)",2017-07-02 15:00:00,2017-07-02,15,NA
"2510","Elizabeth St-La Trobe St (East)",2017-07-02 15:00:00,2017-07-02,15,NA
"2511","Lonsdale St - Elizabeth St (North)",2017-07-02 15:00:00,2017-07-02,15,NA
"2512","Bourke St Bridge",2017-07-02 15:00:00,2017-07-02,15,NA
"2513","Bourke St - Spencer St (North)",2017-07-02 15:00:00,2017-07-02,15,NA
"2514","RMIT Bld 80 - 445 Swanston Street",2017-07-02 15:00:00,2017-07-02,15,NA
"2515","Flinders La-Swanston St (West) Temporary",2017-07-02 15:00:00,2017-07-02,15,NA
"2516","RMIT Building 14",2017-07-02 15:00:00,2017-07-02,15,NA
"2517","380 Elizabeth St",2017-07-02 15:00:00,2017-07-02,15,NA
"2518","La Trobe St (North)",2017-07-02 15:00:00,2017-07-02,15,NA
"2519","231 Bourke St",2017-07-02 15:00:00,2017-07-02,15,NA
"2520","Royal Pde - Grattan St",2017-07-02 15:00:00,2017-07-02,15,NA
"2521","Bourke Street Mall (North)",2017-07-02 16:00:00,2017-07-02,16,3587
"2522","Bourke Street Mall (South)",2017-07-02 16:00:00,2017-07-02,16,2817
"2523","Melbourne Central",2017-07-02 16:00:00,2017-07-02,16,2376
"2524","Town Hall (West)",2017-07-02 16:00:00,2017-07-02,16,3018
"2525","Princes Bridge",2017-07-02 16:00:00,2017-07-02,16,0
"2526","Flinders Street Station Underpass",2017-07-02 16:00:00,2017-07-02,16,2535
"2527","Birrarung Marr",2017-07-02 16:00:00,2017-07-02,16,804
"2528","Webb Bridge",2017-07-02 16:00:00,2017-07-02,16,418
"2529","Southern Cross Station",2017-07-02 16:00:00,2017-07-02,16,226
"2530","Victoria Point",2017-07-02 16:00:00,2017-07-02,16,242
"2531","Waterfront City",2017-07-02 16:00:00,2017-07-02,16,153
"2532","New Quay",2017-07-02 16:00:00,2017-07-02,16,1507
"2533","Flagstaff Station",2017-07-02 16:00:00,2017-07-02,16,0
"2534","Sandridge Bridge",2017-07-02 16:00:00,2017-07-02,16,807
"2535","State Library",2017-07-02 16:00:00,2017-07-02,16,1735
"2536","Collins St (North)",2017-07-02 16:00:00,2017-07-02,16,1186
"2537","Collins Place (South)",2017-07-02 16:00:00,2017-07-02,16,225
"2538","Collins Place (North)",2017-07-02 16:00:00,2017-07-02,16,162
"2539","Chinatown-Swanston St (North)",2017-07-02 16:00:00,2017-07-02,16,1171
"2540","Chinatown-Lt Bourke St (South)",2017-07-02 16:00:00,2017-07-02,16,561
"2541","Bourke St-Russell St (West)",2017-07-02 16:00:00,2017-07-02,16,1024
"2542","Flinders St-Elizabeth St (East)",2017-07-02 16:00:00,2017-07-02,16,2588
"2543","Spencer St-Collins St (South)",2017-07-02 16:00:00,2017-07-02,16,508
"2544","Spencer St-Collins St (North)",2017-07-02 16:00:00,2017-07-02,16,1954
"2545","Melbourne Convention Exhibition Centre",2017-07-02 16:00:00,2017-07-02,16,2159
"2546","QV Market-Elizabeth St (West)",2017-07-02 16:00:00,2017-07-02,16,875
"2547","QV Market-Peel St",2017-07-02 16:00:00,2017-07-02,16,207
"2548","The Arts Centre",2017-07-02 16:00:00,2017-07-02,16,2742
"2549","St Kilda Rd-Alexandra Gardens",2017-07-02 16:00:00,2017-07-02,16,1125
"2550","Lonsdale St (South)",2017-07-02 16:00:00,2017-07-02,16,798
"2551","Lygon St (West)",2017-07-02 16:00:00,2017-07-02,16,531
"2552","City Square",2017-07-02 16:00:00,2017-07-02,16,NA
"2553","Flinders St-Spring St (West)",2017-07-02 16:00:00,2017-07-02,16,144
"2554","Flinders St-Spark La",2017-07-02 16:00:00,2017-07-02,16,192
"2555","Southbank",2017-07-02 16:00:00,2017-07-02,16,3547
"2556","Queen St (West)",2017-07-02 16:00:00,2017-07-02,16,152
"2557","Lygon St (East)",2017-07-02 16:00:00,2017-07-02,16,241
"2558","Alfred Place",2017-07-02 16:00:00,2017-07-02,16,126
"2559","Lonsdale St-Spring St (West)",2017-07-02 16:00:00,2017-07-02,16,0
"2560","Grattan St-Swanston St (West)",2017-07-02 16:00:00,2017-07-02,16,99
"2561","Monash Rd-Swanston St (West)",2017-07-02 16:00:00,2017-07-02,16,145
"2562","Tin Alley-Swanston St (West)",2017-07-02 16:00:00,2017-07-02,16,97
"2563","Little Collins St-Swanston St (East)",2017-07-02 16:00:00,2017-07-02,16,1752
"2564","Flinders La-Swanston St (West)",2017-07-02 16:00:00,2017-07-02,16,3680
"2565","Pelham St (South)",2017-07-02 16:00:00,2017-07-02,16,NA
"2566","Melbourne Central-Elizabeth St (East)",2017-07-02 16:00:00,2017-07-02,16,NA
"2567","QVM-Queen St (East)",2017-07-02 16:00:00,2017-07-02,16,NA
"2568","QVM-Therry St (South)",2017-07-02 16:00:00,2017-07-02,16,NA
"2569","Faraday St-Lygon St (West)",2017-07-02 16:00:00,2017-07-02,16,NA
"2570","QVM-Franklin St (North)",2017-07-02 16:00:00,2017-07-02,16,NA
"2571","Elizabeth St-Lonsdale St (South)",2017-07-02 16:00:00,2017-07-02,16,NA
"2572","Lincoln-Swanston (W)",2017-07-02 16:00:00,2017-07-02,16,NA
"2573","Elizabeth St-La Trobe St (East)",2017-07-02 16:00:00,2017-07-02,16,NA
"2574","Lonsdale St - Elizabeth St (North)",2017-07-02 16:00:00,2017-07-02,16,NA
"2575","Bourke St Bridge",2017-07-02 16:00:00,2017-07-02,16,NA
"2576","Bourke St - Spencer St (North)",2017-07-02 16:00:00,2017-07-02,16,NA
"2577","RMIT Bld 80 - 445 Swanston Street",2017-07-02 16:00:00,2017-07-02,16,NA
"2578","Flinders La-Swanston St (West) Temporary",2017-07-02 16:00:00,2017-07-02,16,NA
"2579","RMIT Building 14",2017-07-02 16:00:00,2017-07-02,16,NA
"2580","380 Elizabeth St",2017-07-02 16:00:00,2017-07-02,16,NA
"2581","La Trobe St (North)",2017-07-02 16:00:00,2017-07-02,16,NA
"2582","231 Bourke St",2017-07-02 16:00:00,2017-07-02,16,NA
"2583","Royal Pde - Grattan St",2017-07-02 16:00:00,2017-07-02,16,NA
"2584","Bourke Street Mall (North)",2017-07-02 17:00:00,2017-07-02,17,3079
"2585","Bourke Street Mall (South)",2017-07-02 17:00:00,2017-07-02,17,2081
"2586","Melbourne Central",2017-07-02 17:00:00,2017-07-02,17,2416
"2587","Town Hall (West)",2017-07-02 17:00:00,2017-07-02,17,2499
"2588","Princes Bridge",2017-07-02 17:00:00,2017-07-02,17,0
"2589","Flinders Street Station Underpass",2017-07-02 17:00:00,2017-07-02,17,2097
"2590","Birrarung Marr",2017-07-02 17:00:00,2017-07-02,17,978
"2591","Webb Bridge",2017-07-02 17:00:00,2017-07-02,17,229
"2592","Southern Cross Station",2017-07-02 17:00:00,2017-07-02,17,196
"2593","Victoria Point",2017-07-02 17:00:00,2017-07-02,17,133
"2594","Waterfront City",2017-07-02 17:00:00,2017-07-02,17,372
"2595","New Quay",2017-07-02 17:00:00,2017-07-02,17,2791
"2596","Flagstaff Station",2017-07-02 17:00:00,2017-07-02,17,0
"2597","Sandridge Bridge",2017-07-02 17:00:00,2017-07-02,17,656
"2598","State Library",2017-07-02 17:00:00,2017-07-02,17,1675
"2599","Collins St (North)",2017-07-02 17:00:00,2017-07-02,17,820
"2600","Collins Place (South)",2017-07-02 17:00:00,2017-07-02,17,269
"2601","Collins Place (North)",2017-07-02 17:00:00,2017-07-02,17,174
"2602","Chinatown-Swanston St (North)",2017-07-02 17:00:00,2017-07-02,17,1235
"2603","Chinatown-Lt Bourke St (South)",2017-07-02 17:00:00,2017-07-02,17,706
"2604","Bourke St-Russell St (West)",2017-07-02 17:00:00,2017-07-02,17,1104
"2605","Flinders St-Elizabeth St (East)",2017-07-02 17:00:00,2017-07-02,17,2415
"2606","Spencer St-Collins St (South)",2017-07-02 17:00:00,2017-07-02,17,356
"2607","Spencer St-Collins St (North)",2017-07-02 17:00:00,2017-07-02,17,1331
"2608","Melbourne Convention Exhibition Centre",2017-07-02 17:00:00,2017-07-02,17,1442
"2609","QV Market-Elizabeth St (West)",2017-07-02 17:00:00,2017-07-02,17,478
"2610","QV Market-Peel St",2017-07-02 17:00:00,2017-07-02,17,159
"2611","The Arts Centre",2017-07-02 17:00:00,2017-07-02,17,1634
"2612","St Kilda Rd-Alexandra Gardens",2017-07-02 17:00:00,2017-07-02,17,704
"2613","Lonsdale St (South)",2017-07-02 17:00:00,2017-07-02,17,896
"2614","Lygon St (West)",2017-07-02 17:00:00,2017-07-02,17,481
"2615","City Square",2017-07-02 17:00:00,2017-07-02,17,NA
"2616","Flinders St-Spring St (West)",2017-07-02 17:00:00,2017-07-02,17,168
"2617","Flinders St-Spark La",2017-07-02 17:00:00,2017-07-02,17,198
"2618","Southbank",2017-07-02 17:00:00,2017-07-02,17,2866
"2619","Queen St (West)",2017-07-02 17:00:00,2017-07-02,17,170
"2620","Lygon St (East)",2017-07-02 17:00:00,2017-07-02,17,295
"2621","Alfred Place",2017-07-02 17:00:00,2017-07-02,17,105
"2622","Lonsdale St-Spring St (West)",2017-07-02 17:00:00,2017-07-02,17,0
"2623","Grattan St-Swanston St (West)",2017-07-02 17:00:00,2017-07-02,17,132
"2624","Monash Rd-Swanston St (West)",2017-07-02 17:00:00,2017-07-02,17,217
"2625","Tin Alley-Swanston St (West)",2017-07-02 17:00:00,2017-07-02,17,163
"2626","Little Collins St-Swanston St (East)",2017-07-02 17:00:00,2017-07-02,17,1690
"2627","Flinders La-Swanston St (West)",2017-07-02 17:00:00,2017-07-02,17,3087
"2628","Pelham St (South)",2017-07-02 17:00:00,2017-07-02,17,NA
"2629","Melbourne Central-Elizabeth St (East)",2017-07-02 17:00:00,2017-07-02,17,NA
"2630","QVM-Queen St (East)",2017-07-02 17:00:00,2017-07-02,17,NA
"2631","QVM-Therry St (South)",2017-07-02 17:00:00,2017-07-02,17,NA
"2632","Faraday St-Lygon St (West)",2017-07-02 17:00:00,2017-07-02,17,NA
"2633","QVM-Franklin St (North)",2017-07-02 17:00:00,2017-07-02,17,NA
"2634","Elizabeth St-Lonsdale St (South)",2017-07-02 17:00:00,2017-07-02,17,NA
"2635","Lincoln-Swanston (W)",2017-07-02 17:00:00,2017-07-02,17,NA
"2636","Elizabeth St-La Trobe St (East)",2017-07-02 17:00:00,2017-07-02,17,NA
"2637","Lonsdale St - Elizabeth St (North)",2017-07-02 17:00:00,2017-07-02,17,NA
"2638","Bourke St Bridge",2017-07-02 17:00:00,2017-07-02,17,NA
"2639","Bourke St - Spencer St (North)",2017-07-02 17:00:00,2017-07-02,17,NA
"2640","RMIT Bld 80 - 445 Swanston Street",2017-07-02 17:00:00,2017-07-02,17,NA
"2641","Flinders La-Swanston St (West) Temporary",2017-07-02 17:00:00,2017-07-02,17,NA
"2642","RMIT Building 14",2017-07-02 17:00:00,2017-07-02,17,NA
"2643","380 Elizabeth St",2017-07-02 17:00:00,2017-07-02,17,NA
"2644","La Trobe St (North)",2017-07-02 17:00:00,2017-07-02,17,NA
"2645","231 Bourke St",2017-07-02 17:00:00,2017-07-02,17,NA
"2646","Royal Pde - Grattan St",2017-07-02 17:00:00,2017-07-02,17,NA
"2647","Bourke Street Mall (North)",2017-07-02 18:00:00,2017-07-02,18,2178
"2648","Bourke Street Mall (South)",2017-07-02 18:00:00,2017-07-02,18,1012
"2649","Melbourne Central",2017-07-02 18:00:00,2017-07-02,18,2260
"2650","Town Hall (West)",2017-07-02 18:00:00,2017-07-02,18,1978
"2651","Princes Bridge",2017-07-02 18:00:00,2017-07-02,18,0
"2652","Flinders Street Station Underpass",2017-07-02 18:00:00,2017-07-02,18,1851
"2653","Birrarung Marr",2017-07-02 18:00:00,2017-07-02,18,3753
"2654","Webb Bridge",2017-07-02 18:00:00,2017-07-02,18,177
"2655","Southern Cross Station",2017-07-02 18:00:00,2017-07-02,18,249
"2656","Victoria Point",2017-07-02 18:00:00,2017-07-02,18,157
"2657","Waterfront City",2017-07-02 18:00:00,2017-07-02,18,756
"2658","New Quay",2017-07-02 18:00:00,2017-07-02,18,3962
"2659","Flagstaff Station",2017-07-02 18:00:00,2017-07-02,18,0
"2660","Sandridge Bridge",2017-07-02 18:00:00,2017-07-02,18,649
"2661","State Library",2017-07-02 18:00:00,2017-07-02,18,1254
"2662","Collins St (North)",2017-07-02 18:00:00,2017-07-02,18,548
"2663","Collins Place (South)",2017-07-02 18:00:00,2017-07-02,18,308
"2664","Collins Place (North)",2017-07-02 18:00:00,2017-07-02,18,147
"2665","Chinatown-Swanston St (North)",2017-07-02 18:00:00,2017-07-02,18,1341
"2666","Chinatown-Lt Bourke St (South)",2017-07-02 18:00:00,2017-07-02,18,822
"2667","Bourke St-Russell St (West)",2017-07-02 18:00:00,2017-07-02,18,1145
"2668","Flinders St-Elizabeth St (East)",2017-07-02 18:00:00,2017-07-02,18,2129
"2669","Spencer St-Collins St (South)",2017-07-02 18:00:00,2017-07-02,18,415
"2670","Spencer St-Collins St (North)",2017-07-02 18:00:00,2017-07-02,18,1430
"2671","Melbourne Convention Exhibition Centre",2017-07-02 18:00:00,2017-07-02,18,1354
"2672","QV Market-Elizabeth St (West)",2017-07-02 18:00:00,2017-07-02,18,467
"2673","QV Market-Peel St",2017-07-02 18:00:00,2017-07-02,18,123
"2674","The Arts Centre",2017-07-02 18:00:00,2017-07-02,18,788
"2675","St Kilda Rd-Alexandra Gardens",2017-07-02 18:00:00,2017-07-02,18,613
"2676","Lonsdale St (South)",2017-07-02 18:00:00,2017-07-02,18,878
"2677","Lygon St (West)",2017-07-02 18:00:00,2017-07-02,18,583
"2678","City Square",2017-07-02 18:00:00,2017-07-02,18,NA
"2679","Flinders St-Spring St (West)",2017-07-02 18:00:00,2017-07-02,18,300
"2680","Flinders St-Spark La",2017-07-02 18:00:00,2017-07-02,18,398
"2681","Southbank",2017-07-02 18:00:00,2017-07-02,18,3186
"2682","Queen St (West)",2017-07-02 18:00:00,2017-07-02,18,137
"2683","Lygon St (East)",2017-07-02 18:00:00,2017-07-02,18,306
"2684","Alfred Place",2017-07-02 18:00:00,2017-07-02,18,114
"2685","Lonsdale St-Spring St (West)",2017-07-02 18:00:00,2017-07-02,18,0
"2686","Grattan St-Swanston St (West)",2017-07-02 18:00:00,2017-07-02,18,92
"2687","Monash Rd-Swanston St (West)",2017-07-02 18:00:00,2017-07-02,18,73
"2688","Tin Alley-Swanston St (West)",2017-07-02 18:00:00,2017-07-02,18,50
"2689","Little Collins St-Swanston St (East)",2017-07-02 18:00:00,2017-07-02,18,1495
"2690","Flinders La-Swanston St (West)",2017-07-02 18:00:00,2017-07-02,18,2825
"2691","Pelham St (South)",2017-07-02 18:00:00,2017-07-02,18,NA
"2692","Melbourne Central-Elizabeth St (East)",2017-07-02 18:00:00,2017-07-02,18,NA
"2693","QVM-Queen St (East)",2017-07-02 18:00:00,2017-07-02,18,NA
"2694","QVM-Therry St (South)",2017-07-02 18:00:00,2017-07-02,18,NA
"2695","Faraday St-Lygon St (West)",2017-07-02 18:00:00,2017-07-02,18,NA
"2696","QVM-Franklin St (North)",2017-07-02 18:00:00,2017-07-02,18,NA
"2697","Elizabeth St-Lonsdale St (South)",2017-07-02 18:00:00,2017-07-02,18,NA
"2698","Lincoln-Swanston (W)",2017-07-02 18:00:00,2017-07-02,18,NA
"2699","Elizabeth St-La Trobe St (East)",2017-07-02 18:00:00,2017-07-02,18,NA
"2700","Lonsdale St - Elizabeth St (North)",2017-07-02 18:00:00,2017-07-02,18,NA
"2701","Bourke St Bridge",2017-07-02 18:00:00,2017-07-02,18,NA
"2702","Bourke St - Spencer St (North)",2017-07-02 18:00:00,2017-07-02,18,NA
"2703","RMIT Bld 80 - 445 Swanston Street",2017-07-02 18:00:00,2017-07-02,18,NA
"2704","Flinders La-Swanston St (West) Temporary",2017-07-02 18:00:00,2017-07-02,18,NA
"2705","RMIT Building 14",2017-07-02 18:00:00,2017-07-02,18,NA
"2706","380 Elizabeth St",2017-07-02 18:00:00,2017-07-02,18,NA
"2707","La Trobe St (North)",2017-07-02 18:00:00,2017-07-02,18,NA
"2708","231 Bourke St",2017-07-02 18:00:00,2017-07-02,18,NA
"2709","Royal Pde - Grattan St",2017-07-02 18:00:00,2017-07-02,18,NA
"2710","Bourke Street Mall (North)",2017-07-02 19:00:00,2017-07-02,19,1425
"2711","Bourke Street Mall (South)",2017-07-02 19:00:00,2017-07-02,19,562
"2712","Melbourne Central",2017-07-02 19:00:00,2017-07-02,19,2085
"2713","Town Hall (West)",2017-07-02 19:00:00,2017-07-02,19,1482
"2714","Princes Bridge",2017-07-02 19:00:00,2017-07-02,19,0
"2715","Flinders Street Station Underpass",2017-07-02 19:00:00,2017-07-02,19,1360
"2716","Birrarung Marr",2017-07-02 19:00:00,2017-07-02,19,202
"2717","Webb Bridge",2017-07-02 19:00:00,2017-07-02,19,126
